Country,Continent,ISO_Code,Level,GDLCODE,Region,"Health index","Educational index ","Income index"
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",0.675,0.524,0.471
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",0.653,0.408,0.396
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",0.638,0.385,0.394
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",0.628,0.420,0.464
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",0.623,0.338,0.416
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",0.643,0.242,0.434
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",0.684,0.370,0.425
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",0.637,0.330,0.424
"Albania","Europe","ALB","Subnat","ALBr201"," Berat",0.869,0.745,0.742
"Albania","Europe","ALB","Subnat","ALBr202"," Diber",0.869,0.667,0.745
"Albania","Europe","ALB","Subnat","ALBr203"," Durres",0.869,0.778,0.767
"Albania","Europe","ALB","Subnat","ALBr204"," Elbasan",0.869,0.749,0.743
"Albania","Europe","ALB","Subnat","ALBr205"," Fier",0.869,0.727,0.719
"Albania","Europe","ALB","Subnat","ALBr206"," Gjirokaster",0.869,0.771,0.755
"Albania","Europe","ALB","Subnat","ALBr207"," Korce",0.869,0.759,0.753
"Albania","Europe","ALB","Subnat","ALBr208"," Kukes",0.869,0.654,0.753
"Albania","Europe","ALB","Subnat","ALBr209"," Lezhe",0.869,0.715,0.737
"Albania","Europe","ALB","Subnat","ALBr210"," Shkoder",0.869,0.731,0.763
"Albania","Europe","ALB","Subnat","ALBr211"," Tirana",0.869,0.854,0.749
"Albania","Europe","ALB","Subnat","ALBr212"," Vlore",0.869,0.797,0.751
"Algeria","Africa","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",0.860,0.617,0.708
"Algeria","Africa","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",0.861,0.659,0.700
"Algeria","Africa","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",0.871,0.632,0.705
"Algeria","Africa","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",0.883,0.714,0.715
"Algeria","Africa","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",0.827,0.702,0.702
"Algeria","Africa","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",0.888,0.641,0.703
"Algeria","Africa","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",0.853,0.665,0.707
"Angola","Africa","AGO","Subnat","AGOr218"," Bengo",0.757,0.451,0.567
"Angola","Africa","AGO","Subnat","AGOr209"," Benguela",0.529,0.488,0.575
"Angola","Africa","AGO","Subnat","AGOr211"," Bie",0.640,0.394,0.498
"Angola","Africa","AGO","Subnat","AGOr201"," Cabinda",0.723,0.649,0.673
"Angola","Africa","AGO","Subnat","AGOr216"," Cunene",0.657,0.415,0.512
"Angola","Africa","AGO","Subnat","AGOr210"," Huambo",0.610,0.455,0.551
"Angola","Africa","AGO","Subnat","AGOr215"," Huila",0.572,0.448,0.537
"Angola","Africa","AGO","Subnat","AGOr213"," Kuando Kubango",0.656,0.377,0.527
"Angola","Africa","AGO","Subnat","AGOr205"," Kuanza Norte",0.624,0.465,0.549
"Angola","Africa","AGO","Subnat","AGOr206"," Kuanza Sul",0.544,0.331,0.508
"Angola","Africa","AGO","Subnat","AGOr204"," Luanda",0.711,0.654,0.743
"Angola","Africa","AGO","Subnat","AGOr208"," Lunda Norte",0.681,0.388,0.537
"Angola","Africa","AGO","Subnat","AGOr217"," Lunda Sul",0.717,0.489,0.561
"Angola","Africa","AGO","Subnat","AGOr207"," Malange",0.691,0.464,0.568
"Angola","Africa","AGO","Subnat","AGOr212"," Moxico",0.628,0.396,0.516
"Angola","Africa","AGO","Subnat","AGOr214"," Namibe",0.617,0.541,0.592
"Angola","Africa","AGO","Subnat","AGOr203"," Uige",0.655,0.473,0.511
"Angola","Africa","AGO","Subnat","AGOr202"," Zaire",0.698,0.556,0.601
"Argentina urban","America","ARG","Subnat","ARGr104","Cuyo",0.852,0.861,0.812
"Argentina urban","America","ARG","Subnat","ARGr101","Gran Buenos Aires",0.852,0.876,0.805
"Argentina urban","America","ARG","Subnat","ARGr103","NEA",0.852,0.837,0.800
"Argentina urban","America","ARG","Subnat","ARGr102","NOA",0.852,0.875,0.810
"Argentina urban","America","ARG","Subnat","ARGr105","Pampeana",0.852,0.863,0.809
"Argentina urban","America","ARG","Subnat","ARGr106","Patagonia",0.852,0.859,0.818
"Armenia","Europe","ARM","Subnat","ARMr101","Aragatsotn",0.801,0.713,0.720
"Armenia","Europe","ARM","Subnat","ARMr102","Ararat",0.801,0.688,0.729
"Armenia","Europe","ARM","Subnat","ARMr103","Armavir",0.801,0.680,0.710
"Armenia","Europe","ARM","Subnat","ARMr104","Gegharkunik",0.801,0.670,0.704
"Armenia","Europe","ARM","Subnat","ARMr106","Kotayk",0.801,0.745,0.752
"Armenia","Europe","ARM","Subnat","ARMr105","Lori",0.801,0.706,0.714
"Armenia","Europe","ARM","Subnat","ARMr107","Shirak",0.801,0.736,0.734
"Armenia","Europe","ARM","Subnat","ARMr108","Syunik",0.801,0.725,0.735
"Armenia","Europe","ARM","Subnat","ARMr110","Tavush",0.801,0.712,0.731
"Armenia","Europe","ARM","Subnat","ARMr109","Vayots Dzor",0.801,0.732,0.735
"Armenia","Europe","ARM","Subnat","ARMr111","Yerevan",0.801,0.821,0.761
"Australia","Asia/Pacific","AUS","Subnat","AUSr108","Australian Capital Territory",1.000,0.960,0.981
"Australia","Asia/Pacific","AUS","Subnat","AUSr101","New South Wales",0.992,0.927,0.939
"Australia","Asia/Pacific","AUS","Subnat","AUSr107","Northern Territory",0.917,0.920,0.984
"Australia","Asia/Pacific","AUS","Subnat","AUSr103","Queensland",0.987,0.917,0.929
"Australia","Asia/Pacific","AUS","Subnat","AUSr104","South Australia",0.991,0.917,0.912
"Australia","Asia/Pacific","AUS","Subnat","AUSr106","Tasmania",0.970,0.906,0.889
"Australia","Asia/Pacific","AUS","Subnat","AUSr102","Victoria",0.999,0.927,0.921
"Australia","Asia/Pacific","AUS","Subnat","AUSr105","Western Australia",0.998,0.923,0.980
"Austria","Europe","AUT","Subnat","AUTr101","Burgenland",0.946,0.803,0.896
"Austria","Europe","AUT","Subnat","AUTr104","Karnten",0.950,0.831,0.925
"Austria","Europe","AUT","Subnat","AUTr102","Niederosterreich",0.943,0.790,0.919
"Austria","Europe","AUT","Subnat","AUTr106","Oberosterreich",0.952,0.823,0.953
"Austria","Europe","AUT","Subnat","AUTr107","Salzburg",0.959,0.868,0.977
"Austria","Europe","AUT","Subnat","AUTr105","Steiermark",0.950,0.856,0.935
"Austria","Europe","AUT","Subnat","AUTr108","Tirol",0.963,0.864,0.960
"Austria","Europe","AUT","Subnat","AUTr109","Vorarlberg",0.967,0.793,0.961
"Austria","Europe","AUT","Subnat","AUTr103","Wien",0.932,0.921,0.974
"Azerbaijan","Europe","AZE","Subnat","AZEr102","Absheron",0.788,0.777,0.803
"Azerbaijan","Europe","AZE","Subnat","AZEr107","Aran",0.720,0.676,0.698
"Azerbaijan","Europe","AZE","Subnat","AZEr101","Baku",0.806,0.803,0.833
"Azerbaijan","Europe","AZE","Subnat","AZEr109","Dakhlik Shirvan",0.782,0.664,0.696
"Azerbaijan","Europe","AZE","Subnat","AZEr103","Ganja Gazakh",0.719,0.708,0.700
"Azerbaijan","Europe","AZE","Subnat","AZEr106","Guba Khachmaz",0.784,0.674,0.715
"Azerbaijan","Europe","AZE","Subnat","AZEr105","Lankaran",0.773,0.658,0.685
"Azerbaijan","Europe","AZE","Subnat","AZEr104","Shaki Zaqatala",0.826,0.721,0.710
"Azerbaijan","Europe","AZE","Subnat","AZEr108","Yukhari Karabakh",0.688,0.690,0.696
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr214"," Bagerhat, Khulna, Satkhira",0.807,0.647,0.597
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr204"," Bandarban, Cox s Bazar",0.783,0.513,0.532
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr202"," Barguna, Bhola, Patuakhali",0.803,0.579,0.539
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr201"," Barisal, Jhalokati, Pirojpur",0.800,0.649,0.572
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr219"," Bogra, Gaibandha, Jaypurhat",0.809,0.602,0.578
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr207"," Brahmanbaria, Chandpur, Comilla",0.816,0.578,0.633
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr203"," Chittagong",0.774,0.637,0.651
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr216"," Chuadanga, Jhenaidah, Kushtia, Meherpur",0.811,0.611,0.614
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr208"," Dhaka",0.830,0.701,0.712
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr220"," Dinajpur, Nilphamari, Panchagarh, Thakurgaon",0.805,0.609,0.582
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr212"," Faridpur, Manikganj, Rajbari",0.834,0.566,0.594
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr206"," Feni, Lakshmipur, Noakhali",0.803,0.586,0.600
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr209"," Gazipur, Narayanganj, Narsingdi",0.790,0.588,0.641
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr213"," Gopalganj, Madaripur, Munshiganj, Shariatpur",0.834,0.558,0.616
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr223"," Habiganj, Sunamganj",0.764,0.498,0.567
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr210"," Jamalpur, Sherpur, Tangail",0.800,0.559,0.586
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr215"," Jessore, Magura, Narail",0.847,0.632,0.615
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr205"," Khagrachhari, Rangamati (Chattagram)",0.789,0.559,0.533
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr211"," Kishoreganj, Mymensingh, Netrakona",0.807,0.522,0.566
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr221"," Kurigram, Lalmonirhat, Rangpur",0.802,0.569,0.552
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr222"," Maulvibazar, Sylhet",0.817,0.562,0.624
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr217"," Naogaon, Nawabganj, Rajshahi",0.823,0.612,0.600
"Bangladesh","Asia/Pacific","BGD","Subnat","BGDr218"," Natore, Pabna, Sirajganj",0.784,0.569,0.586
"Barbados","America","BRB","Subnat","BRBr102","Christ Church and St. Philip",0.886,0.777,0.734
"Barbados","America","BRB","Subnat","BRBr101","St Michael",0.886,0.751,0.720
"Barbados","America","BRB","Subnat","BRBr103","St. James, St. George, and St. Thomas",0.886,0.794,0.734
"Barbados","America","BRB","Subnat","BRBr104","St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John",0.886,0.747,0.721
"Belarus","Europe","BLR","Subnat","BLRr101","Brest region",0.807,0.815,0.778
"Belarus","Europe","BLR","Subnat","BLRr103","Gomel region",0.807,0.828,0.790
"Belarus","Europe","BLR","Subnat","BLRr104","Grodno region",0.807,0.807,0.802
"Belarus","Europe","BLR","Subnat","BLRr105","Minsk region",0.807,0.848,0.801
"Belarus","Europe","BLR","Subnat","BLRr106","Mogilev region",0.807,0.803,0.781
"Belarus","Europe","BLR","Subnat","BLRr102","Vitebsk region",0.807,0.809,0.783
