,Latitude,Longitude,gdlcode
0,16.44207,-97.82645,MEXr120
1,28.24841,-106.49357,MEXr106
2,19.13286,-98.43996,MEXr121
3,19.64728,-99.2153,MEXr115
4,25.80693,-100.61982,MEXr119
5,19.71224,-103.75194,MEXr114
6,26.30559,-99.64489,MEXr119
7,20.29434,-104.26222,MEXr114
8,16.474,-94.35147,MEXr120
9,18.01005,-97.76423,MEXr121
10,20.39885,-103.68891,MEXr114
11,19.23419,-98.2576,MEXr129
12,19.70864,-99.80187,MEXr115
13,20.62476,-88.4244,MEXr131
14,16.11667,-92.68333,MEXr105
15,19.85209,-96.77917,MEXr130
16,27.50999,-109.92944,MEXr126
17,17.58142,-97.41686,MEXr120
18,17.20927,-97.51356,MEXr120
19,17.30639,-97.48889,MEXr120
20,25.4306,-108.0765,MEXr125
21,18.52221,-97.17963,MEXr121
22,22.73031,-102.46575,MEXr132
23,20.33026,-103.1642,MEXr114
24,18.41656,-97.82703,MEXr121
25,19.90937,-99.14552,MEXr115
26,20.06523,-104.40009,MEXr114
27,19.65136,-97.20599,MEXr130
28,25.58081,-108.5135,MEXr125
29,18.17731,-96.96618,MEXr120
30,17.62867,-97.1951,MEXr120
31,18.42494,-97.12263,MEXr121
32,19.25739,-100.27899,MEXr115
33,26.0533,-103.5246,MEXr110
34,20.29924,-100.75753,MEXr111
35,27.9768,-102.83596,MEXr107
36,29.32366,-110.34205,MEXr126
37,26.19095,-104.05463,MEXr110
38,16.84321,-96.90571,MEXr120
39,19.82793,-97.77509,MEXr121
40,19.19926,-98.48834,MEXr121
41,18.47131,-97.84214,MEXr121
42,22.61309,-103.14793,MEXr132
43,19.31619,-96.31736,MEXr130
44,15.74099,-92.07667,MEXr105
45,17.0073,-96.70484,MEXr120
46,21.46657,-102.69341,MEXr132
47,17.11057,-97.12544,MEXr120
48,19.00937,-97.76781,MEXr121
49,29.28753,-109.7249,MEXr126
50,16.80444,-96.75486,MEXr120
51,20.03936,-97.64262,MEXr121
52,28.13424,-108.72721,MEXr106
53,18.27553,-96.77636,MEXr120
54,18.14224,-97.05885,MEXr120
55,30.85409,-111.42221,MEXr126
56,20.62478,-90.04978,MEXr131
57,16.93141,-97.00831,MEXr120
58,22.98261,-102.69261,MEXr132
59,27.14822,-101.31286,MEXr107
60,19.43197,-100.35741,MEXr116
61,17.24642,-98.76947,MEXr112
62,19.79083,-100.07596,MEXr115
63,17.34451,-99.17546,MEXr112
64,20.96401,-103.03733,MEXr114
65,18.56171,-100.2562,MEXr115
66,20.80336,-104.23562,MEXr114
67,17.97682,-94.27843,MEXr130
68,16.72425,-92.77572,MEXr105
69,22.02528,-100.68907,MEXr124
70,18.22374,-98.07685,MEXr121
71,18.85274,-99.25538,MEXr117
72,20.72811,-100.78585,MEXr111
73,28.38882,-109.89696,MEXr126
74,16.92662,-99.74494,MEXr112
75,29.76208,-110.56403,MEXr126
76,20.20857,-98.44324,MEXr113
77,21.13849,-100.35952,MEXr111
78,20.22194,-99.18325,MEXr113
79,23.66909,-100.7249,MEXr124
80,20.03939,-99.4942,MEXr115
81,27.3156,-101.33173,MEXr107
82,16.25201,-97.40976,MEXr120
83,21.24287,-98.78452,MEXr124
84,20.62517,-102.13422,MEXr114
85,22.85247,-102.48265,MEXr132
86,14.94755,-92.30211,MEXr105
87,19.97025,-99.23866,MEXr113
88,19.64519,-88.1532,MEXr123
89,21.10591,-89.15487,MEXr131
90,17.34225,-97.50839,MEXr120
91,17.92542,-96.74948,MEXr120
92,21.63644,-102.97681,MEXr132
93,19.17953,-103.68011,MEXr108
94,19.05019,-98.04154,MEXr121
95,17.92426,-97.6794,MEXr120
96,26.09766,-99.6534,MEXr119
